iter	Passed	Remaining
0	147	147450
1	148	74108
2	149	49662
3	150	37431
4	151	30117
5	152	25216
6	153	21710
7	154	19099
8	154	17048
9	155	15430
10	156	14085
11	157	12972
12	158	12031
13	159	11231
14	160	10534
15	161	9922
16	162	9375
17	163	8895
18	163	8463
19	164	8074
20	165	7723
21	166	7406
22	167	7111
23	168	6847
24	169	6602
25	170	6375
26	171	6164
27	171	5968
28	172	5785
29	173	5614
30	174	5454
31	175	5305
32	176	5167
33	177	5034
34	178	4909
35	178	4790
36	179	4678
37	180	4575
38	181	4473
39	182	4377
40	183	4285
41	184	4199
42	184	4116
43	185	4039
44	186	3962
45	187	3892
46	188	3823
47	189	3757
48	190	3694
49	191	3634
50	192	3576
51	193	3520
52	193	3466
53	194	3413
54	195	3362
55	196	3314
56	197	3267
57	198	3222
58	199	3179
59	200	3137
60	201	3097
61	202	3058
62	203	3022
63	204	2984
64	204	2947
65	205	2912
66	206	2876
67	207	2838
68	207	2805
69	208	2773
70	209	2742
71	210	2712
72	211	2683
73	212	2655
74	213	2627
75	213	2601
76	214	2575
77	215	2550
78	216	2526
79	217	2503
80	218	2479
81	219	2455
82	220	2432
83	220	2409
84	221	2384
85	222	2363
86	222	2339
87	223	2319
88	224	2299
89	225	2280
90	226	2260
91	227	2242
92	228	2224
93	229	2207
94	229	2189
95	230	2173
96	231	2157
97	233	2149
98	234	2136
99	235	2123
100	236	2109
101	237	2091
102	238	2079
103	239	2067
104	241	2055
105	242	2043
106	243	2029
107	244	2016
108	245	2004
109	246	1995
110	247	1984
111	248	1973
112	249	1962
113	250	1950
114	251	1937
115	252	1923
116	253	1911
117	254	1899
118	254	1885
119	255	1873
120	256	1861
121	257	1850
122	257	1836
123	258	1825
124	259	1813
125	259	1803
126	260	1793
127	261	1780
128	262	1770
129	262	1760
130	263	1749
131	264	1740
132	265	1730
133	266	1720
134	266	1710
135	267	1701
136	268	1691
137	269	1681
138	269	1671
139	270	1662
140	271	1653
141	272	1644
142	272	1635
143	273	1627
144	274	1619
