iter	Passed	Remaining
0	156	156744
1	159	79782
2	162	53999
3	164	41049
4	169	33743
5	172	28582
6	175	24905
7	179	22260
8	182	20099
9	185	18338
10	187	16893
11	190	15688
12	193	14675
13	195	13800
14	198	13065
15	202	12435
16	205	11910
17	210	11467
18	213	11048
19	217	10651
20	220	10294
21	226	10061
22	230	9787
23	233	9502
24	236	9238
25	240	9018
26	244	8795
27	247	8607
28	251	8417
29	254	8223
30	257	8042
31	259	7862
32	262	7700
33	266	7567
34	269	7417
35	271	7271
36	273	7116
37	275	6973
38	277	6846
39	279	6714
40	281	6590
41	283	6468
42	285	6343
43	286	6224
44	287	6105
45	288	5991
46	290	5883
47	291	5779
48	292	5677
49	294	5586
50	295	5494
51	296	5405
52	297	5319
53	298	5237
54	300	5159
55	301	5085
56	302	5008
57	303	4934
58	304	4862
59	305	4791
60	307	4727
61	308	4666
62	309	4602
63	310	4539
64	311	4479
65	312	4419
66	313	4361
67	314	4305
68	314	4250
69	315	4196
70	316	4144
71	317	4093
72	318	4044
73	319	3995
74	320	3947
75	320	3901
76	321	3855
77	322	3814
78	323	3774
79	324	3733
80	325	3693
81	326	3654
82	326	3612
83	327	3575
84	328	3538
85	329	3503
86	330	3470
87	331	3436
88	332	3403
89	333	3371
90	334	3339
91	335	3308
92	336	3277
93	336	3247
94	338	3221
95	339	3193
96	340	3165
97	340	3137
98	341	3109
99	342	3081
100	343	3054
101	344	3028
102	344	3002
103	345	2976
104	346	2951
105	346	2926
106	347	2903
107	348	2880
108	349	2857
109	350	2835
110	351	2813
111	352	2792
112	353	2773
113	354	2754
114	355	2733
115	356	2713
116	356	2692
117	357	2673
118	358	2654
119	359	2635
120	360	2617
121	360	2597
122	361	2580
123	362	2563
124	363	2545
125	364	2528
126	365	2511
127	366	2494
128	367	2483
129	368	2469
130	370	2455
131	371	2440
132	372	2426
133	373	2411
134	374	2396
135	374	2381
136	376	2369
137	378	2361
138	379	2348
139	380	2334
140	381	2321
141	381	2307
142	383	2296
143	384	2286
144	385	2274
145	386	2261
146	387	2249
147	388	2237
148	389	2225
149	390	2212
150	391	2200
151	392	2189
152	393	2177
153	394	2166
154	395	2155
155	396	2145
156	398	2137
157	399	2126
158	400	2115
159	400	2105
160	401	2092
161	402	2081
162	403	2070
163	404	2059
164	404	2049
165	405	2038
166	406	2028
167	407	2018
168	408	2008
169	409	1998
170	410	1988
171	411	1978
172	412	1970
173	413	1961
174	414	1953
175	415	1944
176	416	1934
177	416	1924
178	417	1915
179	418	1906
180	419	1897
181	420	1889
182	421	1880
183	422	1871
184	422	1862
185	423	1854
186	424	1845
187	425	1837
188	426	1831
189	428	1824
190	429	1818
191	430	1810
192	431	1802
193	432	1795
194	433	1788
195	434	1781
196	435	1773
197	436	1766
198	436	1758
199	437	1751
200	438	1744
201	439	1736
202	440	1729
203	441	1724
204	443	1718
205	444	1712
206	445	1705
207	446	1699
208	447	1691
209	447	1684
210	448	1678
211	449	1671
212	450	1665
213	451	1658
214	452	1651
215	453	1645
216	454	1638
217	454	1631
218	455	1624
219	457	1620
220	458	1615
221	459	1608
222	459	1602
223	460	1596
224	461	1590
225	462	1584
226	463	1578
227	464	1571
228	465	1565
229	465	1559
230	466	1554
231	467	1548
232	468	1542
233	469	1536
234	470	1530
235	471	1526
236	472	1521
237	473	1516
238	474	1511
239	475	1505
240	476	1500
241	477	1494
242	478	1489
243	479	1484
244	479	1478
245	480	1473
246	481	1467
247	482	1462
248	483	1457
249	483	1451
250	484	1446
251	485	1441
252	487	1437
253	488	1433
254	489	1429
255	490	1424
256	491	1419
257	491	1414
258	492	1409
259	493	1405
260	494	1400
261	495	1395
262	496	1391
263	497	1386
264	498	1381
265	498	1376
266	499	1371
267	500	1368
268	502	1365
269	503	1361
270	504	1356
271	505	1352
272	506	1348
273	507	1344
274	508	1341
275	509	1337
276	511	1334
277	512	1330
278	513	1326
279	514	1322
280	515	1318
281	517	1318
282	519	1315
283	520	1311
284	521	1307
285	521	1302
286	523	1300
287	524	1296
288	525	1292
289	526	1289
290	527	1285
291	528	1280
292	529	1276
293	529	1272
294	531	1269
295	532	1266
296	533	1262
297	534	1259
298	535	1255
299	536	1252
300	537	1248
301	538	1245
302	539	1241
303	540	1238
304	541	1234
305	542	1230
306	543	1227
307	544	1223
308	550	1230
309	552	1230
310	554	1228
311	555	1225
312	558	1226
313	560	1224
314	562	1222
315	563	1219
316	566	1219
317	567	1217
318	568	1214
319	569	1210
320	570	1207
321	571	1204
322	572	1200
323	573	1197
324	574	1193
325	578	1196
326	580	1194
327	581	1191
328	582	1187
329	583	1184
330	585	1182
331	586	1179
332	587	1175
333	587	1172
334	588	1168
335	589	1165
336	590	1162
337	592	1160
338	594	1158
339	594	1154
340	595	1151
341	597	1149
342	598	1146
343	599	1143
344	600	1139
345	601	1136
346	602	1133
347	602	1129
348	603	1126
349	604	1122
350	605	1119
351	607	1118
352	608	1115
353	609	1112
354	610	1109
355	611	1105
356	612	1102
357	613	1099
358	614	1096
359	615	1093
360	616	1090
361	617	1087
362	618	1084
363	618	1081
364	619	1078
365	620	1074
366	623	1074
367	624	1072
368	625	1069
369	625	1065
370	627	1063
371	628	1060
372	629	1057
373	629	1054
374	630	1051
375	631	1048
376	632	1045
377	633	1042
378	634	1039
379	635	1036
380	637	1035
381	638	1033
382	639	1030
383	640	1027
384	641	1025
385	642	1022
386	643	1019
387	644	1016
388	645	1013
389	645	1010
390	646	1007
391	647	1004
392	648	1001
393	649	999
394	650	996
395	652	994
396	653	992
397	654	989
398	655	987
399	656	984
400	657	981
401	658	979
402	659	976
403	660	973
404	661	971
405	661	968
406	662	965
407	663	962
408	664	960
409	667	960
410	668	958
411	669	955
412	670	953
413	671	950
414	672	948
415	673	945
416	674	942
417	675	940
418	676	937
419	677	935
420	678	932
421	679	930
422	679	927
423	681	925
424	682	924
425	683	921
426	684	919
427	685	916
428	686	914
429	687	911
430	688	908
431	689	906
432	690	903
433	691	901
434	691	898
435	692	896
436	693	893
437	694	891
438	695	889
439	697	887
440	698	885
441	699	883
442	700	881
443	701	878
444	702	876
445	703	874
446	704	871
447	705	869
448	706	866
449	707	864
450	707	861
451	708	859
